 ,Label,Mean,Slice
198,210203_LEXY_combined.tif:Cell-02:LEXY-11_w1RFP-BP_t30,73.76,50
199,210203_LEXY_combined.tif:Cell-03:LEXY-11_w1RFP-BP_t30,60.69,50
200,210203_LEXY_combined.tif:Cell-04:LEXY-11_w1RFP-BP_t30,8.63,50
201,210203_LEXY_combined.tif:Cell-01:LEXY-11_w1RFP-BP_t31,61.03,51
202,210203_LEXY_combined.tif:Cell-02:LEXY-11_w1RFP-BP_t31,74.44,51
203,210203_LEXY_combined.tif:Cell-03:LEXY-11_w1RFP-BP_t31,61.27,51
204,210203_LEXY_combined.tif:Cell-04:LEXY-11_w1RFP-BP_t31,8.84,51
205,210203_LEXY_combined.tif:Cell-01:LEXY-11_w1RFP-BP_t32,61.44,52
206,210203_LEXY_combined.tif:Cell-02:LEXY-11_w1RFP-BP_t32,75.21,52
207,210203_LEXY_combined.tif:Cell-03:LEXY-11_w1RFP-BP_t32,61.18,52
208,210203_LEXY_combined.tif:Cell-04:LEXY-11_w1RFP-BP_t32,8.72,52
209,210203_LEXY_combined.tif:Cell-01:LEXY-11_w1RFP-BP_t33,61.91,53
210,210203_LEXY_combined.tif:Cell-02:LEXY-11_w1RFP-BP_t33,75.10,53
211,210203_LEXY_combined.tif:Cell-03:LEXY-11_w1RFP-BP_t33,61.77,53
212,210203_LEXY_combined.tif:Cell-04:LEXY-11_w1RFP-BP_t33,8.95,53
213,210203_LEXY_combined.tif:Cell-01:LEXY-11_w1RFP-BP_t34,62.60,54
214,210203_LEXY_combined.tif:Cell-02:LEXY-11_w1RFP-BP_t34,76.49,54
215,210203_LEXY_combined.tif:Cell-03:LEXY-11_w1RFP-BP_t34,62.30,54
216,210203_LEXY_combined.tif:Cell-04:LEXY-11_w1RFP-BP_t34,8.88,54
217,210203_LEXY_combined.tif:Cell-01:LEXY-12_w1RFP-BP_t1,64.92,55
218,210203_LEXY_combined.tif:Cell-02:LEXY-12_w1RFP-BP_t1,77.98,55
219,210203_LEXY_combined.tif:Cell-03:LEXY-12_w1RFP-BP_t1,63.48,55
220,210203_LEXY_combined.tif:Cell-04:LEXY-12_w1RFP-BP_t1,9.46,55
221,210203_LEXY_combined.tif:Cell-01:LEXY-12_w1RFP-BP_t2,61.97,56
222,210203_LEXY_combined.tif:Cell-02:LEXY-12_w1RFP-BP_t2,75.01,56
223,210203_LEXY_combined.tif:Cell-03:LEXY-12_w1RFP-BP_t2,61.50,56
224,210203_LEXY_combined.tif:Cell-04:LEXY-12_w1RFP-BP_t2,8.53,56
225,210203_LEXY_combined.tif:Cell-01:LEXY-12_w1RFP-BP_t3,58.07,57
226,210203_LEXY_combined.tif:Cell-02:LEXY-12_w1RFP-BP_t3,72.08,57
227,210203_LEXY_combined.tif:Cell-03:LEXY-12_w1RFP-BP_t3,58.74,57
228,210203_LEXY_combined.tif:Cell-04:LEXY-12_w1RFP-BP_t3,7.15,57
229,210203_LEXY_combined.tif:Cell-01:LEXY-12_w1RFP-BP_t4,55.19,58
230,210203_LEXY_combined.tif:Cell-02:LEXY-12_w1RFP-BP_t4,68.97,58
231,210203_LEXY_combined.tif:Cell-03:LEXY-12_w1RFP-BP_t4,56.48,58
232,210203_LEXY_combined.tif:Cell-04:LEXY-12_w1RFP-BP_t4,6.49,58
233,210203_LEXY_combined.tif:Cell-01:LEXY-12_w1RFP-BP_t5,52.57,59
234,210203_LEXY_combined.tif:Cell-02:LEXY-12_w1RFP-BP_t5,66.69,59
235,210203_LEXY_combined.tif:Cell-03:LEXY-12_w1RFP-BP_t5,54.28,59
236,210203_LEXY_combined.tif:Cell-04:LEXY-12_w1RFP-BP_t5,5.70,59
237,210203_LEXY_combined.tif:Cell-01:LEXY-12_w1RFP-BP_t6,50.15,60
238,210203_LEXY_combined.tif:Cell-02:LEXY-12_w1RFP-BP_t6,63.90,60
239,210203_LEXY_combined.tif:Cell-03:LEXY-12_w1RFP-BP_t6,52.28,60
240,210203_LEXY_combined.tif:Cell-04:LEXY-12_w1RFP-BP_t6,5.32,60
241,210203_LEXY_combined.tif:Cell-01:LEXY-12_w1RFP-BP_t7,48.08,61
242,210203_LEXY_combined.tif:Cell-02:LEXY-12_w1RFP-BP_t7,61.53,61
243,210203_LEXY_combined.tif:Cell-03:LEXY-12_w1RFP-BP_t7,50.45,61
244,210203_LEXY_combined.tif:Cell-04:LEXY-12_w1RFP-BP_t7,4.89,61
245,210203_LEXY_combined.tif:Cell-01:LEXY-12_w1RFP-BP_t8,46.48,62
246,210203_LEXY_combined.tif:Cell-02:LEXY-12_w1RFP-BP_t8,60.33,62
247,210203_LEXY_combined.tif:Cell-03:LEXY-12_w1RFP-BP_t8,49.11,62
248,210203_LEXY_combined.tif:Cell-04:LEXY-12_w1RFP-BP_t8,4.76,62
249,210203_LEXY_combined.tif:Cell-01:LEXY-12_w1RFP-BP_t9,44.80,63
250,210203_LEXY_combined.tif:Cell-02:LEXY-12_w1RFP-BP_t9,58.02,63
251,210203_LEXY_combined.tif:Cell-03:LEXY-12_w1RFP-BP_t9,47.61,63
252,210203_LEXY_combined.tif:Cell-04:LEXY-12_w1RFP-BP_t9,4.69,63
253,210203_LEXY_combined.tif:Cell-01:LEXY-12_w1RFP-BP_t10,43.05,64
254,210203_LEXY_combined.tif:Cell-02:LEXY-12_w1RFP-BP_t10,56.33,64
255,210203_LEXY_combined.tif:Cell-03:LEXY-12_w1RFP-BP_t10,46.43,64
256,210203_LEXY_combined.tif:Cell-04:LEXY-12_w1RFP-BP_t10,4.49,64
257,210203_LEXY_combined.tif:Cell-01:LEXY-12_w1RFP-BP_t11,41.92,65
258,210203_LEXY_combined.tif:Cell-02:LEXY-12_w1RFP-BP_t11,54.32,65
259,210203_LEXY_combined.tif:Cell-03:LEXY-12_w1RFP-BP_t11,45.19,65
260,210203_LEXY_combined.tif:Cell-04:LEXY-12_w1RFP-BP_t11,4.23,65
261,210203_LEXY_combined.tif:Cell-01:LEXY-13_w1RFP-BP_t1,41.67,66
262,210203_LEXY_combined.tif:Cell-02:LEXY-13_w1RFP-BP_t1,53.89,66
263,210203_LEXY_combined.tif:Cell-03:LEXY-13_w1RFP-BP_t1,45.07,66
264,210203_LEXY_combined.tif:Cell-04:LEXY-13_w1RFP-BP_t1,4.80,66
265,210203_LEXY_combined.tif:Cell-01:LEXY-13_w1RFP-BP_t2,42.73,67
266,210203_LEXY_combined.tif:Cell-02:LEXY-13_w1RFP-BP_t2,54.62,67
267,210203_LEXY_combined.tif:Cell-03:LEXY-13_w1RFP-BP_t2,45.35,67
268,210203_LEXY_combined.tif:Cell-04:LEXY-13_w1RFP-BP_t2,4.43,67
269,210203_LEXY_combined.tif:Cell-01:LEXY-13_w1RFP-BP_t3,44.28,68
270,210203_LEXY_combined.tif:Cell-02:LEXY-13_w1RFP-BP_t3,56.01,68
271,210203_LEXY_combined.tif:Cell-03:LEXY-13_w1RFP-BP_t3,46.58,68
272,210203_LEXY_combined.tif:Cell-04:LEXY-13_w1RFP-BP_t3,5.06,68
273,210203_LEXY_combined.tif:Cell-01:LEXY-13_w1RFP-BP_t4,45.43,69
274,210203_LEXY_combined.tif:Cell-02:LEXY-13_w1RFP-BP_t4,57.12,69
275,210203_LEXY_combined.tif:Cell-03:LEXY-13_w1RFP-BP_t4,47.44,69
276,210203_LEXY_combined.tif:Cell-04:LEXY-13_w1RFP-BP_t4,5.26,69
277,210203_LEXY_combined.tif:Cell-01:LEXY-13_w1RFP-BP_t5,46.63,70
278,210203_LEXY_combined.tif:Cell-02:LEXY-13_w1RFP-BP_t5,58.20,70
279,210203_LEXY_combined.tif:Cell-03:LEXY-13_w1RFP-BP_t5,48.25,70
280,210203_LEXY_combined.tif:Cell-04:LEXY-13_w1RFP-BP_t5,5.01,70
281,210203_LEXY_combined.tif:Cell-01:LEXY-13_w1RFP-BP_t6,47.74,71
282,210203_LEXY_combined.tif:Cell-02:LEXY-13_w1RFP-BP_t6,59.06,71
283,210203_LEXY_combined.tif:Cell-03:LEXY-13_w1RFP-BP_t6,48.95,71
284,210203_LEXY_combined.tif:Cell-04:LEXY-13_w1RFP-BP_t6,5.32,71
285,210203_LEXY_combined.tif:Cell-01:LEXY-13_w1RFP-BP_t7,48.87,72
286,210203_LEXY_combined.tif:Cell-02:LEXY-13_w1RFP-BP_t7,60.63,72
287,210203_LEXY_combined.tif:Cell-03:LEXY-13_w1RFP-BP_t7,49.98,72
288,210203_LEXY_combined.tif:Cell-04:LEXY-13_w1RFP-BP_t7,5.35,72
289,210203_LEXY_combined.tif:Cell-01:LEXY-13_w1RFP-BP_t8,50.42,73
290,210203_LEXY_combined.tif:Cell-02:LEXY-13_w1RFP-BP_t8,62.08,73
291,210203_LEXY_combined.tif:Cell-03:LEXY-13_w1RFP-BP_t8,51.81,73
292,210203_LEXY_combined.tif:Cell-04:LEXY-13_w1RFP-BP_t8,6.76,73
293,210203_LEXY_combined.tif:Cell-01:LEXY-13_w1RFP-BP_t9,51.70,74
294,210203_LEXY_combined.tif:Cell-02:LEXY-13_w1RFP-BP_t9,63.37,74
295,210203_LEXY_combined.tif:Cell-03:LEXY-13_w1RFP-BP_t9,52.64,74
296,210203_LEXY_combined.tif:Cell-04:LEXY-13_w1RFP-BP_t9,6.86,74
