"","Sample","Mean_YFP","Slice","Mean_CFP","norm_YFP","norm_CFP","ratio","Time","id"
"40","Cell-04",206.01,10,17.53,0.997279398950487,0.977146042363434,1.02060424513244,20,"1"
"41","Cell-01",134.39,11,11.59,0.98669623059867,0.973295263688277,1.01376865521734,22,"1"
"42","Cell-02",155.46,11,13.41,0.987699814480673,0.979260990214692,1.00861754358675,22,"1"
"43","Cell-03",176.79,11,15.35,0.998802273420639,0.9764631043257,1.02287763766596,22,"1"
"44","Cell-04",206.68,11,17.49,1.00052282013051,0.974916387959866,1.02626525975651,22,"1"
"45","Cell-01",133.63,12,11.51,0.981116283167648,0.96657709103124,1.01504193744225,24,"1"
"46","Cell-02",155.16,12,13.45,0.985793793997306,0.982181977508398,1.00367733940514,24,"1"
"47","Cell-03",176.97,12,15.39,0.999819211082361,0.979007633587786,1.02125782964358,24,"1"
"48","Cell-04",207.04,12,17.39,1.00226555389888,0.969342251950948,1.03396457946785,24,"1"
"49","Cell-01",133.42,13,11.58,0.979574455588024,0.972455492106147,1.00732060597083,26,"1"
"50","Cell-02",154.35,13,13.53,0.980647538692216,0.988023952095808,0.992534175524849,26,"1"
"51","Cell-03",175.81,13,15.43,0.993265612817934,0.981552162849873,1.01193359906014,26,"1"
"52","Cell-04",206.02,13,17.36,0.997327808221831,0.967670011148272,1.03064866817394,26,"1"
"53","Cell-01",132.65,14,12.14,0.973921087796068,1.01948270070541,0.95530908677723,28,"1"
"54","Cell-02",152.7,14,14.08,0.970164426033698,1.02818752738426,0.9435675887859,28,"1"
"55","Cell-03",175.23,14,16.06,0.989988813685721,1.02162849872774,0.969030146397231,28,"1"
"56","Cell-04",203.13,14,17.92,0.983337528803516,0.998885172798216,0.984435003724056,28,"1"
"57","Cell-01",212.03,15,8.4,1.55673191289408,0.705408128988915,2.20685281175509,30,"1"
"58","Cell-02",243.32,15,5.63,1.5459096800427,0.411128961589017,3.76015757699905,30,"1"
"59","Cell-03",284.02,15,6.32,1.60461463712274,0.402035623409669,3.99122501512176,30,"1"
"60","Cell-04",324.21,15,7.39,1.5694769862324,0.411928651059086,3.81006997740316,30,"1"
"61","Cell-01",233.42,16,4.5,1.71377806493297,0.377897211958347,4.53503759938262,32,"1"
"62","Cell-02",274.34,16,5.08,1.74299219802282,0.37096538630057,4.69853054325286,32,"1"
"63","Cell-03",347.38,16,5.53,1.96257669404865,0.351781170483461,5.57897027675314,32,"1"
"64","Cell-04",374.26,16,6.2,1.81176538930736,0.345596432552954,5.24243082002807,32,"1"
